Kotlin,10000,161.5331,0.0096,76.9311
Kotlin,500,0.9706,0.0032,0.4491
Kotlin,5000,50.3972,0.0098,34.281
Kotlin,10000,150.2546,0.0083,75.6865
Kotlin,500,0.3437,0.0014,0.1631
Kotlin,5000,26.6138,0.0036,11.3525
Kotlin,10000,134.1679,0.0129,105.3195
Kotlin,500,0.4281,0.0013,0.2001
Kotlin,5000,30.3956,0.0042,14.8346
Kotlin,10000,118.9022,0.0052,45.3813
Kotlin,500,0.2824,8.0E-4,0.1291
Kotlin,5000,23.0256,0.0033,12.0493
Kotlin,10000,156.2977,0.0123,98.3404
Kotlin,500,0.2761,9.0E-4,0.1318
Kotlin,5000,29.5781,0.0065,23.0206
Kotlin,10000,152.0522,0.0166,74.7293
Kotlin,500,0.3513,0.0015,0.18
Kotlin,5000,32.4731,0.0044,17.8711
Kotlin,10000,134.1723,0.0065,62.3725
Kotlin,500,0.476,0.0023,0.2835
Kotlin,5000,45.9576,0.0062,19.1123
Kotlin,10000,149.5902,0.0064,78.792
Kotlin,500,0.3553,0.0011,0.1635
Kotlin,5000,48.8818,0.0067,18.9359
Kotlin,10000,157.5116,0.0068,72.726
Kotlin,500,0.6515,0.0019,0.2995
Kotlin,5000,28.6251,0.008,11.3687
Kotlin,10000,140.6961,0.0083,57.3911
Kotlin,500,0.3505,0.0011,0.1601
Kotlin,5000,25.3657,0.0075,16.1439
Kotlin,10000,125.4125,0.0062,49.9082
Kotlin,500,0.4065,0.0012,0.1935
Kotlin,5000,31.4429,0.0046,11.7687
Kotlin,10000,138.8413,0.0122,49.1939
Kotlin,500,0.2754,9.0E-4,0.1359
Kotlin,5000,24.4671,0.0062,12.5679
Kotlin,10000,151.7209,0.0072,67.3304
Kotlin,500,0.2863,4.0E-4,0.136
Kotlin,5000,39.6169,0.0026,17.2794
Kotlin,10000,124.3718,0.0038,49.0939
Kotlin,500,0.3565,4.0E-4,0.161
Kotlin,5000,24.798,0.002,12.7681
Kotlin,10000,114.1019,0.0035,56.7504
Kotlin,500,0.2799,3.0E-4,0.1552
Kotlin,5000,23.8835,0.0021,12.5277
Kotlin,10000,111.2241,0.0044,48.7113
Kotlin,500,0.2715,3.0E-4,0.1293
Kotlin,5000,28.5304,0.003,18.0287
Kotlin,10000,128.307,0.0082,78.6642
Kotlin,500,0.2957,4.0E-4,0.1412
Kotlin,5000,56.7099,0.0047,15.7013
Kotlin,10000,151.2571,0.0081,50.1652
Kotlin,500,0.2666,3.0E-4,0.1352
Kotlin,5000,40.554,0.0057,15.5456
Kotlin,10000,115.2248,0.0039,52.6458
Kotlin,500,0.2937,3.0E-4,0.1562
Kotlin,5000,24.5909,0.0023,14.1124
Kotlin,10000,125.8302,0.005,66.0456
